Record;[0]\[3];[3]\[0]
80691;TreePineForestUprooted01 [STAT:00013B33];Landscape\Trees\TreePineForestUprooted01.nif
80879;NorHallBg1wayStairs256 [STAT:00013BEF];Dungeons\Nordic\BgHalls\NorHallBg1wayStairs256.nif
80880;NorHallBg1wayEndExSm01 [STAT:00013BF0];Dungeons\Nordic\BgHalls\NorHallBg1wayEndExSm01.nif
80881;NorHallBg1wayEndCap01 [STAT:00013BF1];Dungeons\Nordic\BgHalls\NorHallBg1wayEndCap01.nif
80882;NorHallBg1wayExSmDbl01 [STAT:00013BF2];Dungeons\Nordic\BgHalls\NorHallBg1wayExSmDbl01.nif
80883;NorHallBg1wayExSm01 [STAT:00013BF3];Dungeons\Nordic\BgHalls\NorHallBg1wayExSm01.nif
80892;NorHallExSmExtension01 [STAT:00013BFC];Dungeons\Nordic\BgHalls\NorHallExSmExtension01.nif
80965;NorHallSm3wayExSm01 [STAT:00013C45];Dungeons\Nordic\SmHalls\NorHallSm3wayExSm01.nif
81014;FarmIntWall01 [STAT:00013C76];Architecture\Farmhouse\Interior\FarmIntWall01.nif
81022;FarmIntEnd01 [STAT:00013C7E];Architecture\Farmhouse\Interior\FarmIntEnd01.nif
81543;FarmIntDoorway01 [STAT:00013E87];Architecture\Farmhouse\Interior\FarmIntDoorway01.nif
81591;1stPersonSteelDagger [STAT:00013EB7];Weapons\Steel\1stPersonSteelDagger.nif
81734;TestHDRBox02 [STAT:00013F46];Test\TestHDRBrightRange01.nif
81787;NorRmSmAlcove01 [STAT:00013F7B];Dungeons\Nordic\SmRooms\NorRmSmAlcove01.nif
81788;NorRmSmCorIn01 [STAT:00013F7C];Dungeons\Nordic\SmRooms\NorRmSmCorIn01.nif
81789;NorRmSmCorInExSmL01 [STAT:00013F7D];Dungeons\Nordic\SmRooms\NorRmSmCorInExSmL01.nif
81790;NorRmSmCorInExSmR01 [STAT:00013F7E];Dungeons\Nordic\SmRooms\NorRmSmCorInExSmR01.nif
81791;NorRmSmCorOutL01 [STAT:00013F7F];Dungeons\Nordic\SmRooms\NorRmSmCorOutL01.nif
81792;NorRmSmCorOutR01 [STAT:00013F80];Dungeons\Nordic\SmRooms\NorRmSmCorOutR01.nif
81793;NorRmSmMid01 [STAT:00013F81];Dungeons\Nordic\SmRooms\NorRmSmMid01.nif
81794;NorRmSmWallFront01 [STAT:00013F82];Dungeons\Nordic\SmRooms\NorRmSmWallFront01.nif
81795;NorRmSmWallFront02 [STAT:00013F83];Dungeons\Nordic\SmRooms\NorRmSmWallFront02.nif
81796;NorRmSmWallFrontExSm01 [STAT:00013F84];Dungeons\Nordic\SmRooms\NorRmSmWallFrontExSm01.nif
81797;NorRmSmWallFrontWin01 [STAT:00013F85];Dungeons\Nordic\SmRooms\NorRmSmWallFrontWin01.nif
81798;NorRmSmWallSide01 [STAT:00013F86];Dungeons\Nordic\SmRooms\NorRmSmWallSide01.nif
81799;NorRmSmWallSide02 [STAT:00013F87];Dungeons\Nordic\SmRooms\NorRmSmWallSide02.nif
81800;NorRmSmWallSideExSm01 [STAT:00013F88];Dungeons\Nordic\SmRooms\NorRmSmWallSideExSm01.nif
81801;NorRmSmWallSideWin01 [STAT:00013F89];Dungeons\Nordic\SmRooms\NorRmSmWallSideWin01.nif
81820;NorRmSmCorInExSmDbl01 [STAT:00013F9C];Dungeons\Nordic\SmRooms\NorRmSmCorInExSmDbl01.nif
81839;NorHallSm1wayStairs128ExSm01 [STAT:00013FAF];Dungeons\Nordic\SmHalls\NorHallSm1wayStairs128ExSm01.nif
81840;NorHallSm1wayStairs128ExSm02 [STAT:00013FB0];Dungeons\Nordic\SmHalls\NorHallSm1wayStairs128ExSm02.nif
81873;NorRmSmMid02 [STAT:00013FD1];Dungeons\Nordic\SmRooms\NorRmSmMid02.nif
82005;TreePineForestHollow01 [STAT:00014055];Landscape\Trees\TreePineForestHollow01.nif
82159;1stPersonSteelSword [STAT:000140EF];Weapons\Steel\1stPersonSteelSword.nif
82334;NorPitMid01 [STAT:0001419E];Dungeons\Nordic\Pits\NorPitMid01.nif
82335;NorPitWallFront01 [STAT:0001419F];Dungeons\Nordic\Pits\NorPitWallFront01.nif
82336;NorPitWallFront02 [STAT:000141A0];Dungeons\Nordic\Pits\NorPitWallFront02.nif
82337;NorPitWallSide01 [STAT:000141A1];Dungeons\Nordic\Pits\NorPitWallSide01.nif
82338;NorPitWallSide02 [STAT:000141A2];Dungeons\Nordic\Pits\NorPitWallSide02.nif
82339;NorPitCorInL01 [STAT:000141A3];Dungeons\Nordic\Pits\NorPitCorInL01.nif
82340;NorPitCorInR01 [STAT:000141A4];Dungeons\Nordic\Pits\NorPitCorInR01.nif
82693;1stPersonSteelMace [STAT:00014305];Weapons\Steel\1stPersonSteelMace.nif
83396;TreePineForestCutStump01 [STAT:000145C4];Landscape\Trees\TreePineForestCutStump01.nif
90118;NorRmBgCorInL01 [STAT:00016006];Dungeons\Nordic\BgRooms\NorRmBgCorInL01.nif
90119;NorRmBgCorInR01 [STAT:00016007];Dungeons\Nordic\BgRooms\NorRmBgCorInR01.nif
90120;NorRmBgCorOutL01 [STAT:00016008];Dungeons\Nordic\BgRooms\NorRmBgCorOutL01.nif
90121;NorRmBgCorOutR01 [STAT:00016009];Dungeons\Nordic\BgRooms\NorRmBgCorOutR01.nif
90122;NorRmBgWallFront01 [STAT:0001600A];Dungeons\Nordic\BgRooms\NorRmBgWallFront01.nif
90123;NorRmBgWallFrontExSm01 [STAT:0001600B];Dungeons\Nordic\BgRooms\NorRmBgWallFrontExSm01.nif
90124;NorRmBgWallSide01 [STAT:0001600C];Dungeons\Nordic\BgRooms\NorRmBgWallSide01.nif
90125;NorRmBgWallSideExSm01 [STAT:0001600D];Dungeons\Nordic\BgRooms\NorRmBgWallSideExSm01.nif
90126;NorPitWallSideToRmBgFrontR01 [STAT:0001600E];Dungeons\Nordic\Pits\NorPitWallSideToRmBgFrontR01.nif
90127;NorPitWallSideToRmBgFrontL01 [STAT:0001600F];Dungeons\Nordic\Pits\NorPitWallSideToRmBgFrontL01.nif
90128;NorPitWallFrontToRmBgSideR01 [STAT:00016010];Dungeons\Nordic\Pits\NorPitWallFrontToRmBgSideR01.nif
90129;NorPitWallFrontToRmBgSideL01 [STAT:00016011];Dungeons\Nordic\Pits\NorPitWallFrontToRmBgSideL01.nif
90130;NorPitCorOutL01 [STAT:00016012];Dungeons\Nordic\Pits\NorPitCorOutL01.nif
90131;NorPitCorOutR01 [STAT:00016013];Dungeons\Nordic\Pits\NorPitCorOutR01.nif
90143;NorRmBgMid02 [STAT:0001601F];Dungeons\Nordic\BgRooms\NorRmBgMid02.nif
90203;NorPitWallSideStairs01 [STAT:0001605B];Dungeons\Nordic\Pits\NorPitWallSideStairs01.nif
91518;NorPitWallFrontStairs01 [STAT:0001657E];Dungeons\Nordic\Pits\NorPitWallFrontStairs01.nif
93535;DirtCliffs03 [STAT:00016D5F];Landscape\DirtCliffs\DirtCliffs03.nif
93551;1stPersonSteelGreatSword [STAT:00016D6F];Weapons\Steel\1stPersonSteelGreatSword.nif
95230;TreePineForestCutLog01 [STAT:000173FE];Landscape\Trees\TreePineForestCutLog01.nif
95231;TreePineForestCutLog01A [STAT:000173FF];Landscape\Trees\TreePineForestCutLog01A.nif
95232;TreePineForestCutLog01B [STAT:00017400];Landscape\Trees\TreePineForestCutLog01B.nif
95233;TreePineForestCutLog02 [STAT:00017401];Landscape\Trees\TreePineForestCutLog02.nif
95234;TreePineForestCutLog02A [STAT:00017402];Landscape\Trees\TreePineForestCutLog02A.nif
95235;TreePineForestCutLog02B [STAT:00017403];Landscape\Trees\TreePineForestCutLog02B.nif
95236;TreePineForestCutLog03 [STAT:00017404];Landscape\Trees\TreePineForestCutLog03.nif
95237;TreePineForestCutLog03A [STAT:00017405];Landscape\Trees\TreePineForestCutLog03A.nif
95238;TreePineForestCutLog03B [STAT:00017406];Landscape\Trees\TreePineForestCutLog03B.nif
98709;RockM01 [STAT:00018195];Landscape\Rocks\RockM01.nif
98712;RockS01 [STAT:00018198];Landscape\Rocks\RockS01.nif
98713;RockL01 [STAT:00018199];Landscape\Rocks\RockL01.nif
98714;RockL02 [STAT:0001819A];Landscape\Rocks\RockL02.nif
98715;RockM02 [STAT:0001819B];Landscape\Rocks\RockM02.nif
99317;RuinsSconce [STAT:000183F5];Clutter\Ruins\RuinSconce01.nif
99386;NorCatHallSm1way01 [STAT:0001843A];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm1way01.nif
99387;NorCatHallSm2way01 [STAT:0001843B];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm2way01.nif
101285;RockL03 [STAT:00018BA5];Landscape\Rocks\RockL03.nif
101286;RockPileS02 [STAT:00018BA6];Landscape\Rocks\RockPileS02.nif
101287;RockS02 [STAT:00018BA7];Landscape\Rocks\RockS02.nif
101290;NorCatHallSm1way02 [STAT:00018BAA];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm1way02.nif
101291;NorCatHallSm1way03 [STAT:00018BAB];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm1way03.nif
101292;NorCatHallSm1wayEndCap01 [STAT:00018BAC];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm1wayEndCap01.nif
101293;NorCatHallSm1wayEndCapExSm01 [STAT:00018BAD];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm1wayEndCapExSm01.nif
101294;NorCatHallSm3way01 [STAT:00018BAE];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm3way01.nif
101295;NorCatHallSm3way02 [STAT:00018BAF];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm3way02.nif
101296;NorCatHallSm4way01 [STAT:00018BB0];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm4way01.nif
101297;NorCatHallSm4way02 [STAT:00018BB1];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm4way02.nif
101392;markarthblocktemp01 [STAT:00018C10];Architecture\Markarth\markarthblocktemp01.nif
101867;NorCatHallSm1wayExtension01 [STAT:00018DEB];Dungeons\Nordic\Catacombs\SmHalls\NorCatHallSm1wayExtension01.nif
103398;WRMainRoadPlains [STAT:000193E6];Architecture\WhiteRun\WRTerrain\WRMainRoadPlains.nif
103450;WRStairsWater01 [STAT:0001941A];Architecture\WhiteRun\WRCityWalls\WRStairsWater01.nif
103451;WRMainRoadMarket [STAT:0001941B];Architecture\WhiteRun\WRTerrain\WRMainRoadMarket.nif
103609;RuinsSconceAndBase [STAT:000194B9];Clutter\Ruins\RuinSconce01WithBase.nif
103612;RuinsSconceBaseNoShadow [STAT:000194BC];Clutter\Ruins\RuinSconce01BaseNoShadow.nif
104163;WRDrayGoodsBase [STAT:000196E3];Architecture\WhiteRun\WRTerrain\WRDryGoodsBase.nif
104165;WRDrunkenHuntsmanBase [STAT:000196E5];Architecture\WhiteRun\WRTerrain\WRDrunkenHuntsmanBase.nif
104166;WRBreezeBase [STAT:000196E6];Architecture\WhiteRun\WRTerrain\WRBreezeBase.nif
104167;WRGreyManeBase [STAT:000196E7];Architecture\WhiteRun\WRTerrain\WRGreyManeBase.nif
104175;RockPileS01 [STAT:000196EF];Landscape\Rocks\RockPileS01.nif
104386;DirtCliffs03Snow01 [STAT:000197C2];Landscape\DirtCliffs\DirtCliffs03.nif
104517;DirtCliffsCornerIn01Snow01 [STAT:00019845];Landscape\DirtCliffs\DirtCliffsCornerIn01.nif
104534;DirtCliffsCornerOut01Snow01 [STAT:00019856];Landscape\DirtCliffs\DirtCliffsCornerOut01.nif
104581;DirtCliffsIsland01Snow01 [STAT:00019885];Landscape\DirtCliffs\DirtCliffsIsland01.nif
105207;RockM03 [STAT:00019AF7];Landscape\Rocks\RockM03.nif
106023;RuinsLargeFloorSconce [STAT:00019E27];Clutter\Ruins\RuinLargeFloorSconce.nif
108258;RockL04 [STAT:0001A6E2];Landscape\Rocks\RockL04.nif
108321;NorTmpHallBg1way01 [STAT:0001A721];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1way01.nif
109669;1stPersonSteelWarAxe [STAT:0001AC65];Weapons\Steel\1stPersonSteelWarAxe.nif
110689;RuinsLargeCeilingSconce [STAT:0001B061];Clutter\Ruins\RuinCeilingSconce01.nif
110691;RuinsSconceRopeLong [STAT:0001B063];Clutter\Ruins\RuinsCeilingRopeLong.nif
110693;RuinsSconceRopeShort [STAT:0001B065];Clutter\Ruins\RuinsCeilingRopeShort.nif
110697;RuinsSconceRopeBroken [STAT:0001B069];Clutter\Ruins\RuinsCeilingRopeBroken.nif
110759;RockM04 [STAT:0001B0A7];Landscape\Rocks\RockM04.nif
110760;RockL05 [STAT:0001B0A8];Landscape\Rocks\RockL05.nif
110761;RockS03 [STAT:0001B0A9];Landscape\Rocks\RockS03.nif
110950;CaveGLHall1Way01 [STAT:0001B166];Dungeons\Caves\Green\LargeHall\CaveGLHall1Way01.nif
110951;CaveGLHall3Way02 [STAT:0001B167];Dungeons\Caves\Green\LargeHall\CaveGLHall3Way02.nif
110952;CaveGLHall4Way01 [STAT:0001B168];Dungeons\Caves\Green\LargeHall\CaveGLHall4Way01.nif
110953;CaveGLHallDeadEnd01 [STAT:0001B169];Dungeons\Caves\Green\LargeHall\CaveGLHallDeadEnd01.nif
110954;CaveGLHallDeadEnd02 [STAT:0001B16A];Dungeons\Caves\Green\LargeHall\CaveGLHallDeadEnd02.nif
110955;CaveGLHallDoor01 [STAT:0001B16B];Dungeons\Caves\Green\LargeHall\CaveGLHallDoor01.nif
110956;CaveGLHallDoor02 [STAT:0001B16C];Dungeons\Caves\Green\LargeHall\CaveGLHallDoor02.nif
110957;CaveGLHallRamp01 [STAT:0001B16D];Dungeons\Caves\Green\LargeHall\CaveGLHallRamp01.nif
110958;CaveGLHallRamp02 [STAT:0001B16E];Dungeons\Caves\Green\LargeHall\CaveGLHallRamp02.nif
110959;CaveGLHall2Way01 [STAT:0001B16F];Dungeons\Caves\Green\LargeHall\CaveGLHall2Way01.nif
110960;CaveGLHall2Way02 [STAT:0001B170];Dungeons\Caves\Green\LargeHall\CaveGLHall2Way02.nif
110961;CaveGLHall3Way01 [STAT:0001B171];Dungeons\Caves\Green\LargeHall\CaveGLHall3Way01.nif
110962;CaveGLRoomDoor03 [STAT:0001B172];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoor03.nif
110963;CaveGLRoomDoor04 [STAT:0001B173];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoor04.nif
110964;CaveGLRoomDoorB01 [STAT:0001B174];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorB01.nif
110965;CaveGLRoomDoorB02 [STAT:0001B175];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorB02.nif
110966;CaveGLRoomDoorB03 [STAT:0001B176];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorB03.nif
110967;CaveGLRoomDoorB04 [STAT:0001B177];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorB04.nif
110968;CaveGLRoomDoorL01 [STAT:0001B178];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorL01.nif
110969;CaveGLRoomDoorL02 [STAT:0001B179];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorL02.nif
110970;CaveGLRoomDoorL03 [STAT:0001B17A];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorL03.nif
110971;CaveGLRoomDoorL04 [STAT:0001B17B];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorL04.nif
110972;CaveGLRoomDoorLB01 [STAT:0001B17C];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorLB01.nif
110973;CaveGLRoomDoorLB02 [STAT:0001B17D];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorLB02.nif
110974;CaveGLRoomDoorLB03 [STAT:0001B17E];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorLB03.nif
110975;CaveGLRoomDoorLB04 [STAT:0001B17F];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoorLB04.nif
110976;CaveGLRoomInCorner01 [STAT:0001B180];Dungeons\Caves\Green\LargeRoom\CaveGLRoomInCorner01.nif
110977;CaveGLRoomInCorner02 [STAT:0001B181];Dungeons\Caves\Green\LargeRoom\CaveGLRoomInCorner02.nif
110978;CaveGLRoomInCorner03 [STAT:0001B182];Dungeons\Caves\Green\LargeRoom\CaveGLRoomInCorner03.nif
110979;CaveGLRoomInCorner04 [STAT:0001B183];Dungeons\Caves\Green\LargeRoom\CaveGLRoomInCorner04.nif
110980;CaveGLRoomMid01 [STAT:0001B184];Dungeons\Caves\Green\LargeRoom\CaveGLRoomMid01.nif
110981;CaveGLRoomWall01 [STAT:0001B185];Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall01.nif
110982;CaveGLRoomWall02 [STAT:0001B186];Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall02.nif
110983;CaveGLRoomWall03 [STAT:0001B187];Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall03.nif
110984;CaveGLRoomWall04 [STAT:0001B188];Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall04.nif
110985;CaveGLRoomCorner01 [STAT:0001B189];Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner01.nif
110986;CaveGLRoomCorner02 [STAT:0001B18A];Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner02.nif
110987;CaveGLRoomCorner03 [STAT:0001B18B];Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner03.nif
110988;CaveGLRoomCorner04 [STAT:0001B18C];Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner04.nif
110989;CaveGLRoomDoor01 [STAT:0001B18D];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoor01.nif
110990;CaveGLRoomDoor02 [STAT:0001B18E];Dungeons\Caves\Green\LargeRoom\CaveGLRoomDoor02.nif
110991;CaveGHall3Way02 [STAT:0001B18F];Dungeons\Caves\Green\SmallHall\CaveGHall3Way02.nif
110992;CaveGHall4Way01 [STAT:0001B190];Dungeons\Caves\Green\SmallHall\CaveGHall4Way01.nif
110993;CaveGHallDeadEnd01 [STAT:0001B191];Dungeons\Caves\Green\SmallHall\CaveGHallDeadEnd01.nif
110994;CaveGHallDeadEnd02 [STAT:0001B192];Dungeons\Caves\Green\SmallHall\CaveGHallDeadEnd02.nif
110995;CaveGHallRamp01 [STAT:0001B193];Dungeons\Caves\Green\SmallHall\CaveGHallRamp01.nif
110996;CaveGHallRamp02 [STAT:0001B194];Dungeons\Caves\Green\SmallHall\CaveGHallRamp02.nif
110998;CaveGHall1Way01 [STAT:0001B196];Dungeons\Caves\Green\SmallHall\CaveGHall1Way01.nif
110999;CaveGHall2Way01 [STAT:0001B197];Dungeons\Caves\Green\SmallHall\CaveGHall2Way01.nif
111000;CaveGHall2Way02 [STAT:0001B198];Dungeons\Caves\Green\SmallHall\CaveGHall2Way02.nif
111001;CaveGHall3Way01 [STAT:0001B199];Dungeons\Caves\Green\SmallHall\CaveGHall3Way01.nif
111002;CaveGRoomDoor03 [STAT:0001B19A];Dungeons\Caves\Green\SmallRoom\CaveGRoomDoor03.nif
111003;CaveGRoomDoor04 [STAT:0001B19B];Dungeons\Caves\Green\SmallRoom\CaveGRoomDoor04.nif
