Record;[0]\[3];[3]\[0]
33659437;DLC2RockM03_Ash [STAT:04019A2D];Landscape\Rocks\RockM03.nif
33659439;DLC2RockM04VolcanicAsh01 [STAT:04019A2F];Landscape\Rocks\RockM04.nif
33659483;ApoStacksSingle01 [STAT:04019A5B];DLC02\Dungeons\Apocrypha\Stacks\ApoStacksSingle01.nif
33659488;ApoStacksSingle02 [STAT:04019A60];DLC02\Dungeons\Apocrypha\Stacks\ApoStacksSingle02.nif
33659489;ApoStacksFloor01 [STAT:04019A61];DLC02\Dungeons\Apocrypha\Stacks\ApoStacksFloor01.nif
33659514;ApoFloorRaised02 [STAT:04019A7A];DLC02\Dungeons\Apocrypha\Rubble\ApoFloorRaised02.nif
33659515;ApoStacksSingleCap01 [STAT:04019A7B];DLC02\Dungeons\Apocrypha\Stacks\ApoStacksSingleCap01.nif
33659522;ApoLgHall1way01 [STAT:04019A82];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHall1way01.nif
33659567;ApoLgHall1CapOpen01 [STAT:04019AAF];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHall1CapOpen01.nif
33659605;DLC2TreePineForestLogSm01Smoking [STAT:04019AD5];DLC02\Landscape\Trees\DLC2TreePineForestLogSm01Smoking01.nif
33659606;DLC2TreePineForestLogSm01Flaming01 [STAT:04019AD6];DLC02\Landscape\Trees\DLC2TreePineForestLogSm01Flaming01.nif
33659609;RRBulwarkIntStr01 [STAT:04019AD9];DLC02\Architecture\RavenRock\Bulwark\RRBulwarkIntStr01.nif
33659622;RRRuinsTemp01 [STAT:04019AE6];DLC02\Architecture\RavenRock\RRRuinsTemp01.nif
33659623;RRRuinsTemp02 [STAT:04019AE7];DLC02\Architecture\RavenRock\RRRuinsTemp02.nif
33659627;RRBulwarkIntEnd01 [STAT:04019AEB];DLC02\Architecture\RavenRock\Bulwark\RRBulwarkIntEnd01.nif
33659628;RRBulwarkIntEnd02 [STAT:04019AEC];DLC02\Architecture\RavenRock\Bulwark\RRBulwarkIntEnd02.nif
33659742;DLC2RieklingFence01 [STAT:04019B5E];DLC02\Architecture\Riekling\DLC2RieklingFence01.nif
33659743;DLC2RieklingFence02 [STAT:04019B5F];DLC02\Architecture\Riekling\DLC2RieklingFence02.nif
33659744;DLC2RieklingFenceEnd [STAT:04019B60];DLC02\Architecture\Riekling\DLC2RieklingFenceEnd.nif
33659985;DLC2RieklingTotemSkull [STAT:04019C51];DLC02\Clutter\Riekling\DLC2RieklingTotemSkull.nif
33660007;DLC02AshDuneVolcAsh01L01 [STAT:04019C67];Landscape\SnowDrifts\SnowDriftL01.nif
33660008;DLC02AshDuneVolcAsh01L02 [STAT:04019C68];Landscape\SnowDrifts\SnowDriftL02.nif
33660009;DLC02AshDuneVolcAsh01M01 [STAT:04019C69];DLC02\Landscape\DLC02AshDuneVolcAsh01M01.nif
33660011;DLC02AshDuneVolcAsh01M02 [STAT:04019C6B];DLC02\Landscape\DLC02AshDuneVolcAsh01M02.nif
33662224;DLC2HrothmundsAxeAltar [STAT:0401A510];DLC02\Weapons\HrothmundsAxe\HrothmundsAxe.nif
33662332;DLC02AshDuneVolcAsh01M03 [STAT:0401A57C];DLC02\Landscape\DLC02AshDuneVolcAsh01M03.nif
33663536;ApoExtTowerBase01 [STAT:0401AA30];DLC02\Dungeons\Apocrypha\Exterior\ApoExtTowerBase01.nif
33663719;DLC02IceDoor [STAT:0401AAE7];DLC02\Dungeons\IceCastle\DLC02IceDoor.nif
33664534;DLC2IceDoorStatic [STAT:0401AE16];DLC02\Dungeons\IceCastle\DLC02IceDoorStatic.nif
33664718;1stPersonBloodskalSword [STAT:0401AECE];Weapons\Silver\1stPersonSilverGreatSword.nif
33667040;DLC2DragonBonesSkull01 [STAT:0401B7E0];Clutter\DeadAnimals\DragonBonesSkull01.nif
33667041;DLC2DragonBonesNeck01 [STAT:0401B7E1];Clutter\DeadAnimals\DragonBonesNeck01.nif
33667351;RRBulwarkIntStr02 [STAT:0401B917];DLC02\Architecture\RavenRock\Bulwark\RRBulwarkIntStr02.nif
33667362;DLC2RRBulwarkEntry01 [STAT:0401B922];DLC02\Architecture\RavenRock\Bulwark\DLC2RRBulwarkEntryTemp01.nif
33667364;DLC2RRBulwarkAngle01 [STAT:0401B924];DLC02\Architecture\RavenRock\Bulwark\DLC2RRBulwarkAngleTemp01.nif
33667367;DLC2GlacierEndLg01 [STAT:0401B927];DLC02\Landscape\Glaciers\DLC2GlacierEndLg01.nif
33667368;DLC2GlacierPillarLg01 [STAT:0401B928];DLC02\Landscape\Glaciers\DLC2GlacierPillarLg01.nif
33667369;DLC2GlacierSlab01 [STAT:0401B929];DLC02\Landscape\Glaciers\DLC2GlacierSlab01.nif
33667370;DLC2GlacierStraightLg01 [STAT:0401B92A];DLC02\Landscape\Glaciers\DLC2GlacierStraightLg01.nif
33667371;DLC2GlacierTrim01 [STAT:0401B92B];DLC02\Landscape\Glaciers\DLC2GlacierTrim01.nif
33667372;DLC2GlacierTrim02 [STAT:0401B92C];DLC02\Landscape\Glaciers\DLC2GlacierTrim02.nif
33667373;DLC2IcebergLarge [STAT:0401B92D];DLC02\Landscape\Glaciers\DLC2IcebergLarge.nif
33667374;DLC2IcebergLedge01 [STAT:0401B92E];DLC02\Landscape\Glaciers\DLC2IcebergLedge01.nif
33667375;DLC2IcebergSmall01 [STAT:0401B92F];DLC02\Landscape\Glaciers\DLC2IcebergSmall01.nif
33667376;DLC2IcebergSmall02 [STAT:0401B930];DLC02\Landscape\Glaciers\DLC2IcebergSmall02.nif
33667377;DLC2GlacierCaveEntrance02 [STAT:0401B931];DLC02\Landscape\Glaciers\DLC2GlacierCaveEntrance02.nif
33667378;DLC2GlacierCaveEntrance02_LDirtSnowPath [STAT:0401B932];DLC02\Landscape\Glaciers\DLC2GlacierCaveEntrance02.nif
33667379;DLC2GlacierPillarLg01_NoSN [STAT:0401B933];DLC02\Landscape\Glaciers\DLC2GlacierPillarLg01.nif
33667380;1stPersonSpearSword [STAT:0401B934];DLC02\Weapons\RieklingSpears\SpearSword.nif
33667385;DLC2DweRmSmWallExBg01 [STAT:0401B939];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmWallExBg01.nif
33667386;DLC2DweDoorFrameExBgtoExSm01 [STAT:0401B93A];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweDoorFrameExBgtoExSm01.nif
33667387;DLC2DweRmSmColumn01 [STAT:0401B93B];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmColumn01.nif
33667388;DLC2DweRmSmCorIn01 [STAT:0401B93C];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCorIn01.nif
33667389;DLC2DweRmSmCorOut01 [STAT:0401B93D];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCorOut01.nif
33667390;DLC2DweRmSmCounter01 [STAT:0401B93E];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCounter01.nif
33667391;DLC2DweRmSmMid01 [STAT:0401B93F];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmMid01.nif
33667392;DLC2DweRmSmMidBot01 [STAT:0401B940];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmMidBot01.nif
33667393;DLC2DweRmSmWall01 [STAT:0401B941];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmWall01.nif
33667394;DLC2DweRmSmWall02 [STAT:0401B942];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmWall02.nif
33668029;DLC2VvardenfellPlume [STAT:0401BBBD];DLC02\Sky\DLC2VvardenfellPlume.nif
33668426;DLC2DweRmSmCorInExBgL01 [STAT:0401BD4A];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCorInExBgL01.nif
33668427;DLC2DweRmSmCorInExBgR01 [STAT:0401BD4B];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCorInExBgR01.nif
33668428;DLC2DweRmSmCorInHalf01 [STAT:0401BD4C];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCorInHalf01.nif
33668429;DLC2DweRmSmCorInHalfL01 [STAT:0401BD4D];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCorInHalfL01.nif
33668430;DLC2DweRmSmCorInHalfR01 [STAT:0401BD4E];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmCorInHalfR01.nif
33668431;DLC2DweRmSmWallExBgHalf01 [STAT:0401BD4F];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmWallExBgHalf01.nif
33668432;DLC2DweRmSmWallHalf01 [STAT:0401BD50];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmWallHalf01.nif
33668433;DLC2DweRmSmWallHalf02 [STAT:0401BD51];DLC02\Dungeons\Dwemer\SmRooms\DLC2DweRmSmWallHalf02.nif
33668623;DLC2RieklingTotem [STAT:0401BE0F];DLC02\Clutter\Riekling\DLC2RieklingTotem.nif
33668646;DLC2RockPileM02Rocks01AshTundra01 [STAT:0401BE26];Landscape\Rocks\RockPileM02.nif
33668648;DLC2RockPileL03VolcanicAshTundra01 [STAT:0401BE28];Landscape\Rocks\RockPileL03.nif
33668972;ApoLgHall1CapClosed01 [STAT:0401BF6C];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHall1CapClosed01.nif
33668973;ApoLgHall2way01 [STAT:0401BF6D];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHall2way01.nif
33668974;ApoLgHall3way01 [STAT:0401BF6E];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHall3way01.nif
33668975;ApoLgHall4way01 [STAT:0401BF6F];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHall4way01.nif
33668976;ApoStacksArch01 [STAT:0401BF70];DLC02\Dungeons\Apocrypha\Stacks\ApoStacksArch01.nif
33669179;RRAshTunnel01 [STAT:0401C03B];DLC02\Architecture\RavenRock\RRAshTunnel01.nif
33670733;DLC2CastleGlacier01 [STAT:0401C64D];DLC02\Dungeons\IceCastle\DLC2CastleGlacier01.nif
33670736;DLC2CastleGlacier02 [STAT:0401C650];DLC02\Dungeons\IceCastle\DLC2CastleGlacier02.nif
33670738;DLC2CastleGlacier03 [STAT:0401C652];DLC02\Dungeons\IceCastle\DLC2CastleGlacier03.nif
33670739;DLC2CastleGlacier04 [STAT:0401C653];DLC02\Dungeons\IceCastle\DLC2CastleGlacier04.nif
33670852;RockPileM01_LMine [STAT:0401C6C4];Landscape\Rocks\RockPileM01.nif
33670895;RockPileL01_LMine [STAT:0401C6EF];Landscape\Rocks\RockPileL01.nif
33671924;RedoranHut01 [STAT:0401CAF4];DLC02\Architecture\RavenRock\Redoran\RedoranHut01.nif
33672798;DLC2RieklingBridgeStart01 [STAT:0401CE5E];DLC02\Architecture\Riekling\DLC2RieklingBridgeStart01.nif
33672799;DLC2RieklingBridge01 [STAT:0401CE5F];DLC02\Architecture\Riekling\DLC2RieklingBridge01.nif
33672800;DLC2RieklingBridgePlatform01 [STAT:0401CE60];DLC02\Architecture\Riekling\DLC2RieklingBridgePlatform01.nif
33672801;DLC2RieklingBridgePlatformSmall [STAT:0401CE61];DLC02\Architecture\Riekling\DLC2RieklingBridgePlatformSmall.nif
33674163;RockPileM02_LMine [STAT:0401D3B3];Landscape\Rocks\RockPileM02.nif
33674164;RockPileS01_LMine [STAT:0401D3B4];Landscape\Rocks\RockPileS01.nif
33674454;DLC2RieklingSkull02 [STAT:0401D4D6];DLC02\Clutter\Riekling\DLC2RieklingSkull02.nif
33674455;DLC2RieklingSkull01 [STAT:0401D4D7];DLC02\Clutter\Riekling\DLC2RieklingSkull01.nif
33674456;DLC2RieklingBone01 [STAT:0401D4D8];DLC02\Clutter\Riekling\DLC2RieklingBone01.nif
33674487;DLC2TreePineForestBrokenCluster01 [STAT:0401D4F7];DLC02\Landscape\Trees\TreePineForestBrokenCluster01.nif
33674496;DLC2TreePineForestBroken06 [STAT:0401D500];DLC02\Landscape\Trees\TreePineForestBroken06.nif
33675063;DLC2FireCrater01 [STAT:0401D737];DLC02\Landscape\DLC2FireCrater02.nif
33675064;DLC2FireCraterRound [STAT:0401D738];DLC02\Landscape\DLC2FireCraterRound.nif
33675066;DLC2TreePineForestBrokenSmoking01 [STAT:0401D73A];DLC02\Landscape\Trees\TreePineForestBroken04_Smoking.nif
33675105;DirtCliffs03VolcanicAshTundra02 [STAT:0401D761];Landscape\DirtCliffs\DirtCliffs03Moss.nif
33675499;ApoLgHallArchFree01 [STAT:0401D8EB];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHallArchFree01.nif
33675503;ApoLgHallStair01 [STAT:0401D8EF];DLC02\Dungeons\Apocrypha\LgHall\ApoLgHallStair01.nif
33675518;ApoPlatFreeSm01 [STAT:0401D8FE];DLC02\Dungeons\Apocrypha\Platform\ApoPlatFreeSm01.nif
33675546;ApoPlatACorIn01 [STAT:0401D91A];DLC02\Dungeons\Apocrypha\Platform\ApoPlatACorIn01.nif
33675547;ApoPlatACorOut01 [STAT:0401D91B];DLC02\Dungeons\Apocrypha\Platform\ApoPlatACorOut01.nif
33675548;ApoPlatAFront01 [STAT:0401D91C];DLC02\Dungeons\Apocrypha\Platform\ApoPlatAFront01.nif
33675549;ApoPlatAMid01 [STAT:0401D91D];DLC02\Dungeons\Apocrypha\Platform\ApoPlatAMid01.nif
33675550;ApoPlatBCorIn01 [STAT:0401D91E];DLC02\Dungeons\Apocrypha\Platform\ApoPlatBCorIn01.nif
33675551;ApoPlatBCorOut01 [STAT:0401D91F];DLC02\Dungeons\Apocrypha\Platform\ApoPlatBCorOut01.nif
33675552;ApoPlatBFront01 [STAT:0401D920];DLC02\Dungeons\Apocrypha\Platform\ApoPlatBFront01.nif
33675553;ApoPlatBMid01 [STAT:0401D921];DLC02\Dungeons\Apocrypha\Platform\ApoPlatBMid01.nif
33675554;ApoPlatAStair01 [STAT:0401D922];DLC02\Dungeons\Apocrypha\Platform\ApoPlatAStair01.nif
33675733;DLC2IcePileS01 [STAT:0401D9D5];DLC02\Landscape\Glaciers\DLC2IcePileS01.nif
33675734;DLC2IcePileL03 [STAT:0401D9D6];DLC02\Landscape\Glaciers\DLC2IcePileL03.nif
33675735;DLC2IcePileM02 [STAT:0401D9D7];DLC02\Landscape\Glaciers\DLC2IcePileM02.nif
33675736;DLC2IcePileL02 [STAT:0401D9D8];DLC02\Landscape\Glaciers\DLC2IcePileL02.nif
33675737;DLC2IcePileS02 [STAT:0401D9D9];DLC02\Landscape\Glaciers\DLC2IcePileS02.nif
33675738;DLC2IcePileS03 [STAT:0401D9DA];DLC02\Landscape\Glaciers\DLC2IcePileS03.nif
33675739;DLC2IcePileS04 [STAT:0401D9DB];DLC02\Landscape\Glaciers\DLC2IcePileS04.nif
33675740;DLC2IcePileL01 [STAT:0401D9DC];DLC02\Landscape\Glaciers\DLC2IcePileL01.nif
33675741;DLC2IcePileL01Snow01 [STAT:0401D9DD];DLC02\Landscape\Glaciers\DLC2IcePileL01.nif
33675751;DLC2IcebergLarge_LightSN [STAT:0401D9E7];DLC02\Landscape\Glaciers\DLC2IcebergLarge.nif
33675752;DLC2GlacierRubbleTrim01 [STAT:0401D9E8];DLC02\Landscape\Glaciers\DLC2GlacierRubbleTrim01.nif
33675753;DLC2GlacierRubbleTrim02 [STAT:0401D9E9];DLC02\Landscape\Glaciers\DLC2GlacierRubbleTrim02.nif
33675754;DLC2GlacierRubbleTrim03 [STAT:0401D9EA];DLC02\Landscape\Glaciers\DLC2GlacierRubbleTrim03.nif
33675755;DLC2GlacierRubbleTrim01_LightSN [STAT:0401D9EB];DLC02\Landscape\Glaciers\DLC2GlacierRubbleTrim01.nif
33675756;DLC2GlacierRubbleTrim02_LightSN [STAT:0401D9EC];DLC02\Landscape\Glaciers\DLC2GlacierRubbleTrim02.nif
33675757;DLC2GlacierRubbleTrim03_LightSN [STAT:0401D9ED];DLC02\Landscape\Glaciers\DLC2GlacierRubbleTrim03.nif
33675850;DLC2IcebergSmall02_LightSN [STAT:0401DA4A];DLC02\Landscape\Glaciers\DLC2IcebergSmall02.nif
33675851;DLC2IcebergSmall01_LightSN [STAT:0401DA4B];DLC02\Landscape\Glaciers\DLC2IcebergSmall01.nif
33675867;DLC2IcebergLedge01_LightSN [STAT:0401DA5B];DLC02\Landscape\Glaciers\DLC2IcebergLedge01.nif
33676394;RockAnimalDenLDirtSnowPath01_LightSN [STAT:0401DC6A];Landscape\Rocks\RockAnimalDen01.nif
33676459;ApoStacksWallStraight01 [STAT:0401DCAB];DLC02\Dungeons\Apocrypha\Stacks\ApoStacksWallStraight01.nif
33676460;ApoStacksWallBend01 [STAT:0401DCAC];DLC02\Dungeons\Apocrypha\Stacks\ApoStacksWallBend01.nif
33677250;ApoPlatBBridge01 [STAT:0401DFC2];DLC02\Dungeons\Apocrypha\Platform\ApoPlatBBridge01.nif
33677276;ApoPlatBStair01 [STAT:0401DFDC];DLC02\Dungeons\Apocrypha\Platform\ApoPlatBStair01.nif
33677302;DLC2DweFacadeBalcony01 [STAT:0401DFF6];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBalcony01.nif
33677303;DLC2DweFacadeBalconyCap01 [STAT:0401DFF7];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBalconyCap01.nif
33677304;DLC2DweFacadeBalconyMid01 [STAT:0401DFF8];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBalconyMid01.nif
33677305;DLC2DweFacadeBridge01 [STAT:0401DFF9];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBridge01.nif
33677306;DLC2DweFacadeBridgeCurve01 [STAT:0401DFFA];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBridgeCurve01.nif
33677307;DLC2DweFacadeBridgeCurve02 [STAT:0401DFFB];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBridgeCurve02.nif
33677308;DLC2DweFacadeBridgeRampCCW01 [STAT:0401DFFC];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBridgeRampCCW01.nif
33677309;DLC2DweFacadeBridgeRampCW01 [STAT:0401DFFD];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeBridgeRampCW01.nif
33677310;DLC2DweFacadeColumnXLgFree01 [STAT:0401DFFE];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeColumnXLgFree01.nif
33677311;DLC2DweFacadeFreeExBg01 [STAT:0401DFFF];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeFreeExBg01.nif
33677312;DLC2DweFacadeHallSm1way01 [STAT:0401E000];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSm1way01.nif
33677313;DLC2DweFacadeHallSm1wayRamp01 [STAT:0401E001];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSm1wayRamp01.nif
33677314;DLC2DweFacadeHallSm2way01 [STAT:0401E002];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSm2way01.nif
33677315;DLC2DweFacadeHallSm3way01 [STAT:0401E003];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSm3way01.nif
33677316;DLC2DweFacadeHallSm4way01 [STAT:0401E004];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSm4way01.nif
33677317;DLC2DweFacadeHallSmAlcove01 [STAT:0401E005];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSmAlcove01.nif
33677318;DLC2DweFacadeHallSmEndCap01 [STAT:0401E006];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSmEndCap01.nif
33677319;DLC2DweFacadeHallSmExBg01 [STAT:0401E007];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSmExBg01.nif
33677320;DLC2DweFacadeHallSmExBgExtender01 [STAT:0401E008];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeHallSmExBgExtender01.nif
33677321;DLC2DweFacadePartition01 [STAT:0401E009];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadePartition01.nif
33677322;DLC2DweFacadePartitionBase01 [STAT:0401E00A];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadePartitionBase01.nif
33677323;DLC2DweFacadePartitionBaseMid01 [STAT:0401E00B];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadePartitionBaseMid01.nif
33677324;DLC2DweFacadeTower01 [STAT:0401E00C];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeTower01.nif
33677325;DLC2DweFacadeTower02 [STAT:0401E00D];DLC02\Dungeons\Dwemer\Facades\DLC2DweFacadeTower02.nif
